idx,t_s,x_m,y_m,vel_mps,heading_x,heading_y,spreading,dose_alvo_kg_ha
167,56.2259,167.0000,-90.1866,3.0823,1.000000,0.000000,1,100.000000
168,56.5506,168.0000,-90.1866,3.0801,1.000000,0.000000,1,100.000000
169,56.8755,169.0000,-90.1866,3.0779,1.000000,0.000000,1,100.000000
170,57.2006,170.0000,-90.1866,3.0757,1.000000,0.000000,1,100.000000
171,57.5260,171.0000,-90.1866,3.0735,1.000000,0.000000,1,100.000000
172,57.8516,172.0000,-90.1866,3.0713,1.000000,0.000000,1,100.000000
173,58.1774,173.0000,-90.1866,3.0691,1.000000,0.000000,1,100.000000
174,58.5034,174.0000,-90.1866,3.0669,1.000000,0.000000,1,100.000000
175,58.8297,175.0000,-90.1866,3.0648,1.000000,0.000000,1,100.000000
176,59.1563,176.0000,-90.1866,3.0626,1.000000,0.000000,1,100.000000
177,59.4830,177.0000,-90.1866,3.0605,1.000000,0.000000,1,100.000000
178,59.8100,178.0000,-90.1866,3.0584,1.000000,0.000000,1,100.000000
179,60.1372,179.0000,-90.1866,3.0563,1.000000,0.000000,1,100.000000
180,60.4646,180.0000,-90.1866,3.0543,1.000000,0.000000,1,100.000000
181,60.7922,181.0000,-90.1866,3.0523,1.000000,0.000000,1,100.000000
182,61.1200,182.0000,-90.1866,3.0503,1.000000,0.000000,1,100.000000
183,61.4481,183.0000,-90.1866,3.0484,1.000000,0.000000,1,100.000000
184,61.7763,184.0000,-90.1866,3.0465,1.000000,0.000000,1,100.000000
185,62.1047,185.0000,-90.1866,3.0447,1.000000,0.000000,1,100.000000
186,62.4334,186.0000,-90.1866,3.0428,1.000000,0.000000,1,100.000000
187,62.7622,187.0000,-90.1866,3.0411,1.000000,0.000000,1,100.000000
188,63.0912,188.0000,-90.1866,3.0394,1.000000,0.000000,1,100.000000
189,63.4204,189.0000,-90.1866,3.0377,1.000000,0.000000,1,100.000000
190,63.7498,190.0000,-90.1866,3.0360,1.000000,0.000000,1,100.000000
191,64.0794,191.0000,-90.1866,3.0344,1.000000,0.000000,1,100.000000
192,64.4091,192.0000,-90.1866,3.0329,1.000000,0.000000,1,100.000000
193,64.7390,193.0000,-90.1866,3.0314,1.000000,0.000000,1,100.000000
194,65.0690,194.0000,-90.1866,3.0299,1.000000,0.000000,1,100.000000
195,65.3992,195.0000,-90.1866,3.0285,1.000000,0.000000,1,100.000000
196,65.7295,196.0000,-90.1866,3.0272,1.000000,0.000000,1,100.000000
197,66.0600,197.0000,-90.1866,3.0259,1.000000,0.000000,1,100.000000
198,66.3906,198.0000,-90.1866,3.0246,1.000000,0.000000,1,100.000000
199,66.7214,199.0000,-90.1866,3.0234,1.000000,0.000000,1,100.000000
200,67.0523,200.0000,-90.1866,3.0222,1.000000,0.000000,1,100.000000
201,67.1629,200.3341,-90.1810,3.0223,0.999442,0.033415,0,0.000000
202,67.2734,200.6679,-90.1643,3.0246,0.997767,0.066793,0,0.000000
203,67.3837,201.0010,-90.1364,3.0292,0.994978,0.100096,0,0.000000
204,67.4938,201.3329,-90.0974,3.0360,0.991077,0.133287,0,0.000000
205,67.6035,201.6633,-90.0473,3.0450,0.986070,0.166329,0,0.000000
206,67.7129,201.9919,-89.9862,3.0563,0.979962,0.199186,0,0.000000
207,67.8218,202.3182,-89.9142,3.0698,0.972759,0.231820,0,0.000000
208,67.9301,202.6420,-89.8313,3.0855,0.964469,0.264195,0,0.000000
209,68.0378,202.9628,-89.7377,3.1033,0.955102,0.296276,0,0.000000
210,68.1448,203.2802,-89.6333,3.1233,0.944669,0.328025,0,0.000000
211,68.2510,203.5941,-89.5184,3.1455,0.933181,0.359408,0,0.000000
212,68.3565,203.9039,-89.3931,3.1697,0.920650,0.390389,0,0.000000
213,68.4610,204.2093,-89.2575,3.1960,0.907091,0.420935,0,0.000000
214,68.5647,204.5101,-89.1118,3.2243,0.892519,0.451010,0,0.000000
215,68.6674,204.8058,-88.9561,3.2547,0.876950,0.480582,0,0.000000
216,68.7691,205.0962,-88.7906,3.2870,0.860402,0.509617,0,0.000000
217,68.8697,205.3808,-88.6156,3.3213,0.842892,0.538082,0,0.000000
218,68.9692,205.6595,-88.4310,3.3574,0.824442,0.565947,0,0.000000
219,69.0677,205.9318,-88.2373,3.3954,0.805070,0.593180,0,0.000000
220,69.1649,206.1975,-88.0346,3.4352,0.784799,0.619750,0,0.000000
221,69.2611,206.4563,-87.8232,3.4768,0.763652,0.645628,0,0.000000
222,69.3560,206.7078,-87.6031,3.5201,0.741652,0.670785,0,0.000000
223,69.4498,206.9519,-87.3749,3.5650,0.718824,0.695192,0,0.000000
224,69.5423,207.1882,-87.1386,3.6116,0.695192,0.718824,0,0.000000
225,69.6336,207.4165,-86.8945,3.6597,0.670785,0.741652,0,0.000000
226,69.7237,207.6365,-86.6429,3.7093,0.645628,0.763652,0,0.000000
227,69.8126,207.8480,-86.3841,3.7603,0.619750,0.784799,0,0.000000
228,69.9003,208.0507,-86.1184,3.8128,0.593180,0.805070,0,0.000000
229,69.9867,208.2444,-85.8461,3.8665,0.565947,0.824442,0,0.000000
230,70.0719,208.4289,-85.5675,3.9215,0.538082,0.842892,0,0.000000
231,70.1559,208.6040,-85.2828,3.9778,0.509617,0.860402,0,0.000000
232,70.2388,208.7695,-84.9924,4.0351,0.480582,0.876950,0,0.000000
233,70.3204,208.9252,-84.6967,4.0935,0.451010,0.892519,0,0.000000
234,70.4009,209.0709,-84.3960,4.1529,0.420935,0.907091,0,0.000000
235,70.4802,209.2065,-84.0905,4.2133,0.390389,0.920650,0,0.000000
236,70.5584,209.3318,-83.7807,4.2745,0.359408,0.933181,0,0.000000
237,70.6355,209.4467,-83.4669,4.3365,0.328025,0.944669,0,0.000000
238,70.7114,209.5510,-83.1494,4.3993,0.296276,0.955102,0,0.000000
239,70.7863,209.6447,-82.8286,4.4626,0.264195,0.964469,0,0.000000
240,70.8602,209.7276,-82.5048,4.5266,0.231820,0.972759,0,0.000000
241,70.9330,209.7996,-82.1785,4.5910,0.199186,0.979962,0,0.000000
242,71.0047,209.8607,-81.8499,4.6559,0.166329,0.986070,0,0.000000
243,71.0755,209.9108,-81.5195,4.7212,0.133287,0.991077,0,0.000000
244,71.1454,209.9498,-81.1876,4.7867,0.100096,0.994978,0,0.000000
245,71.2142,209.9777,-80.8546,4.8524,0.066793,0.997767,0,0.000000
246,71.2822,209.9944,-80.5208,4.9183,0.033415,0.999442,0,0.000000
247,71.3492,210.0000,-80.1866,4.9842,-0.000000,1.000000,0,0.000000
248,71.4154,209.9944,-79.8525,5.0501,-0.033415,0.999442,0,0.000000
249,71.4807,209.9777,-79.5187,5.1159,-0.066793,0.997767,0,0.000000
250,71.5452,209.9498,-79.1857,5.1816,-0.100096,0.994978,0,0.000000
251,71.6089,209.9108,-78.8538,5.2470,-0.133287,0.991077,0,0.000000
252,71.6719,209.8607,-78.5233,5.3120,-0.166329,0.986070,0,0.000000
253,71.7340,209.7996,-78.1948,5.3767,-0.199186,0.979962,0,0.000000
254,71.7954,209.7276,-77.8684,5.4409,-0.231820,0.972759,0,0.000000
255,71.8562,209.6447,-77.5447,5.5046,-0.264195,0.964469,0,0.000000
256,71.9162,209.5510,-77.2239,5.5677,-0.296276,0.955102,0,0.000000
257,71.9755,209.4467,-76.9064,5.6300,-0.328025,0.944669,0,0.000000
258,72.0343,209.3318,-76.5926,5.6917,-0.359408,0.933181,0,0.000000
259,72.0924,209.2065,-76.2827,5.7525,-0.390389,0.920650,0,0.000000
260,72.1499,209.0709,-75.9773,5.8124,-0.420935,0.907091,0,0.000000
261,72.2068,208.9252,-75.6765,5.8713,-0.451010,0.892519,0,0.000000
262,72.2632,208.7695,-75.3808,5.9292,-0.480582,0.876950,0,0.000000
263,72.3190,208.6040,-75.0905,5.9861,-0.509617,0.860402,0,0.000000
264,72.3743,208.4289,-74.8058,6.0418,-0.538082,0.842892,0,0.000000
265,72.4291,208.2444,-74.5272,6.0962,-0.565947,0.824442,0,0.000000
266,72.4835,208.0507,-74.2548,6.1494,-0.593180,0.805070,0,0.000000
267,72.5374,207.8480,-73.9891,6.2013,-0.619750,0.784799,0,0.000000
268,72.5908,207.6365,-73.7304,6.2517,-0.645628,0.763652,0,0.000000
269,72.6439,207.4165,-73.4788,6.3008,-0.670785,0.741652,0,0.000000
270,72.6965,207.1882,-73.2347,6.3483,-0.695192,0.718824,0,0.000000
271,72.7488,206.9519,-72.9984,6.3943,-0.718824,0.695192,0,0.000000
272,72.8007,206.7078,-72.7701,6.4386,-0.741652,0.670785,0,0.000000
273,72.8523,206.4563,-72.5501,6.4814,-0.763652,0.645628,0,0.000000
274,72.9035,206.1975,-72.3386,6.5224,-0.784799,0.619750,0,0.000000
275,72.9544,205.9318,-72.1359,6.5617,-0.805070,0.593180,0,0.000000
276,73.0051,205.6595,-71.9422,6.5993,-0.824442,0.565947,0,0.000000
277,73.0554,205.3808,-71.7577,6.6350,-0.842892,0.538082,0,0.000000
278,73.1056,205.0962,-71.5826,6.6689,-0.860402,0.509617,0,0.000000
279,73.1554,204.8058,-71.4171,6.7008,-0.876950,0.480582,0,0.000000
280,73.2051,204.5101,-71.2614,6.7309,-0.892519,0.451010,0,0.000000
281,73.2545,204.2093,-71.1157,6.7591,-0.907091,0.420935,0,0.000000
282,73.3038,203.9039,-70.9801,6.7853,-0.920650,0.390389,0,0.000000
283,73.3529,203.5941,-70.8548,6.8094,-0.933181,0.359408,0,0.000000
284,73.4018,203.2802,-70.7399,6.8316,-0.944669,0.328025,0,0.000000
285,73.4506,202.9628,-70.6356,6.8518,-0.955102,0.296276,0,0.000000
286,73.4992,202.6420,-70.5419,6.8699,-0.964469,0.264195,0,0.000000
287,73.5478,202.3182,-70.4590,6.8859,-0.972759,0.231820,0,0.000000
288,73.5962,201.9919,-70.3870,6.8999,-0.979962,0.199186,0,0.000000
289,73.6445,201.6633,-70.3259,6.9118,-0.986070,0.166329,0,0.000000
290,73.6928,201.3329,-70.2759,6.9216,-0.991077,0.133287,0,0.000000
291,73.7411,201.0010,-70.2369,6.9293,-0.994978,0.100096,0,0.000000
292,73.7893,200.6679,-70.2090,6.9349,-0.997767,0.066793,0,0.000000
293,73.8374,200.3341,-70.1922,6.9384,-0.999442,0.033415,0,0.000000
294,73.8856,200.0000,-70.1866,6.9398,-1.000000,0.000000,0,100.000000
295,74.0297,200.3262,-70.1866,6.9408,-1.000000,0.000000,1,0.000000
296,74.1738,199.3262,-70.1866,6.9376,-1.000000,0.000000,1,100.000000
297,74.3180,198.3262,-70.1866,6.9344,-1.000000,0.000000,1,100.000000
298,74.4623,197.3262,-70.1866,6.9309,-1.000000,0.000000,1,100.000000
299,74.6066,196.3262,-70.1866,6.9274,-1.000000,0.000000,1,100.000000
300,74.7511,195.3262,-70.1866,6.9238,-1.000000,0.000000,1,100.000000
301,74.8956,194.3262,-70.1866,6.9200,-1.000000,0.000000,1,100.000000
302,75.0402,193.3262,-70.1866,6.9161,-1.000000,0.000000,1,100.000000
303,75.1848,192.3262,-70.1866,6.9120,-1.000000,0.000000,1,100.000000
304,75.3296,191.3262,-70.1866,6.9079,-1.000000,0.000000,1,100.000000
305,75.4745,190.3262,-70.1866,6.9036,-1.000000,0.000000,1,100.000000
306,75.6194,189.3262,-70.1866,6.8992,-1.000000,0.000000,1,100.000000
307,75.7644,188.3262,-70.1866,6.8947,-1.000000,0.000000,1,100.000000
